horse,distance,es_finishtime,first,firstthree,act_first,act_fthree
LOBO'S LEGEND (C299),1200,17.01029766,0,0,0,0
COOL TEAM (B264),1200,17.18213058,0,0,0,0
INFINITY ENDEAVOUR (A030),1200,17.43921651,0,0,0,0
INVINCIBLE MISSILE (C037),1200,17.18173655,0,0,0,1
SUPER STAR (B380),1200,17.18629164,0,0,1,1
ALCARI (A354),1200,17.12716654,0,0,0,1
BEAUTY LOYAL (B383),1200,16.98102509,0,0,0,0
CLASSIC POSH (C327),1200,17.32351667,0,0,0,0
COMFORT LIFE (B169),1200,16.92612182,0,0,0,0
GUVNOR (C182),1200,16.90497993,0,0,0,0
CHEERS VANQUISHER (C204),1200,16.90378927,0,1,0,0
WON WON TOO (C164),1200,16.36363636,1,1,0,0
LET'S TAKE IT EASY (A140),1200,17.06358052,0,0,0,0
MARQULA (V423),1200,16.81438834,0,1,0,0
