,horse,distance,es_finishtime,first,firstthree
0,E STAR (C132),1200,70.506,0,0
1,FOREVER SHARP (C467),1200,70.4654,0,0
2,GOOD VIEW CLARICO (C454),1200,70.8017,0,0
3,ONE HAPPY STAR (C486),1200,70.54,0,0
4,SUPER EIGHTEEN (A323),1200,71.17,0,0
5,VEGA RHYTHM (C455),1200,68.74308989,1,1
6,WINNER APPROACH (C378),1200,70.3006,0,1
7,EIGHT TRIGRAMS (C102),1200,70.95,0,0
8,GOLDEN MISSION (C106),1200,70.4823,0,0
9,BEST FOR YOU (C223),1200,71.17,0,0
10,GUN GUN WIN (C092),1200,70.31781879,0,0
11,MASTER ALBERT (A296),1200,70.33,0,0
12,IRON BRAVO (C012),1200,71.45,0,0
13,I'M THE CONQUIST (B155),1200,69.58714286,0,1
