hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime
5,GREEN LUCK (B413),C Fownes,J Moreira,96,0,1063,1.38.58
3,TURIN REDSTAR (B092),F C Lor,K C Leung,95,0,1136,1.39.30
1,MR SO AND SO (B412),J Size,U Rispoli,92,-1,1018,1.38.77
2,VICTORY BOYS (S355),D J Hall,Z Purton,91,-3,1237,1.39.69
6,CIRCUIT GLORY (A402),A S Cruz,K H Chan,90,-1,1044,1.39.09
8,GOOD OMEN (B208),D J Whyte,R Bayliss,88,0,1051,1.40.54
7,DANCES WITH DRAGON (B129),L Ho,A Domeyer,83,0,1072,1.40.31
4,HAPPY DRAGON (B099),J Moore,M Chadwick,83,0,1142,1.39.75
9,HARMONY HERO (B217),R Gibson,C Schofield,83,2,1226,1.38.83
10,PLAYA DEL PUENTE (C492),C S Shum,K Teetan,82,0,1091,
,,,,,,,
hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime
12,BALTIC WHISPER (B216),C S Shum,C Y Ho,79,-2,1154,0.57.09
10,FORZA ANGEL (B333),Y S Tsui,L Hewitson,74,0,1035,0.57.02
7,KING'S EMINENCE (C508),L Ho,H T Mo,72,,,
11,MEGA HEART (A148),C W Chang,R Bayliss,70,0,1196,0.56.95
8,THE RUNNER (D042),D J Whyte,C Schofield,70,,,
6,BEAUTY CHARISMA (C274),J Moore,K H Chan,68,-2,1060,0.57.84
1,SPECIAL STARS (C010),J Size,J Moreira,68,0,1088,0.57.06
9,HAPPY LIFELINE (C447),A T Millard,M Chadwick,67,-2,1079,
5,SNAP FIT (B402),C Fownes,Z Purton,67,9,1170,0.57.12
3,STAR OF THEHARBOUR (C078),D J Hall,T H So,62,-6,1051,0.58.38
2,AMAZING LUCK (B401),P O'Sullivan,K Teetan,61,-1,1159,
4,JOLLY CONVERGENCE (V293),R Gibson,H N Wong,61,-2,1080,0.57.19
,,,,,,,
hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime
9,YOO YOO KING (C399),A T Millard,K Teetan,79,-1,1056,
1,REALISM (C286),D E Ferraris,L Hewitson,78,,,
3,BLITZING (B290),A S Cruz,J Moreira,75,0,1167,1.09.54
8,FIRST RESPONDER (C205),J Moore,N Callan,70,0,1131,1.09.72
4,MONEY BACK (C392),P O'Sullivan,B Shinn,70,,,
5,SHANGHAI MASTER (A337),K W Lui,C Y Ho,70,-3,1132,1.09.57
10,BALLISTIC KING (C231),K H Ting,A Domeyer,68,0,1099,1.10.08
2,GRATWICK (B110),T P Yung,M Chadwick,68,0,1229,
7,MEGA RED (V078),C W Chang,M L Yeung,67,-2,1143,1.10.50
11,NORDIC WARRIOR (B371),R Gibson,Z Purton,67,0,1083,1.09.95
12,FARSHAD (B238),Y S Tsui,H W Lai,61,-4,1077,
6,MR PICASSO (T330),D J Hall,M F Poon,61,-2,1138,1.09.74
,,,,,,,
hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime
5,NAVAS (V362),R Gibson,Z Purton,59,-1,1063,1.09.83
4,PRECIOUS SWEETIE (B254),L Ho,M L Yeung,58,7,1109,1.09.61
8,SHAMPORT (B167),C Fownes,J Moreira,54,6,1077,1.09.71
11,ALL WONGCHOY (C278),C S Shum,B Shinn,52,0,1135,1.10.40
7,CAMFORD MAGIC (C468),W Y So,K C Leung,52,,,
9,BULLISH BROTHER (C034),A S Cruz,K Teetan,51,0,1119,1.09.83
3,KUNG FU TEA (C136),D J Hall,C Y Ho,51,-1,1133,
10,SPIRIT (B235),A T Millard,M Chadwick,48,-8,964,
1,U W BROTHER (C389),Y S Tsui,C Schofield,48,-2,1123,
6,ISLAND WINNER (C088),P F Yiu,H W Lai,44,-4,1206,1.10.56
2,BRILLIANT (C005),K W Lui,H N Wong,43,-2,999,1.10.33
12,SUPER FUN (A408),C H Yip,L Hewitson,41,-4,1099,1.10.27
,,,,,,,
hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime
10,HERO TIME (B010),R Gibson,N Callan,59,0,1141,1.09.98
5,AMAZING STAR (B019),K H Ting,J Moreira,58,-3,1158,1.09.54
4,ZERO HEDGE (A221),J Size,K C Leung,58,0,1118,
12,FLYING EMPEROR (C156),C W Chang,U Rispoli,57,,,1.11.10
