,hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime,RowSum,first,place,winstake,plastake
0,0.0,HERO TIME (B010),0.1,0.15,0.08,0.08,0.08,0.32,0.09183673469387756,0,0,0,0
1,0.19,AMAZING STAR (B019),0.1,0.15,0.08,0.0,0.08,0.32,0.10430839002267572,0,0,0,0
2,0.19,ZERO HEDGE (A221),0.1,0.15,0.08,0.08,0.08,0.32,0.11337868480725623,1,1,10,10
3,0.0,FLYING EMPEROR (C156),0.1,0.15,0.08,0.08,0.08,0.0,0.05555555555555556,0,0,0,0
4,0.0,SUPREME PATROL (C300),0.1,0.15,0.08,0.0,0.08,0.32,0.08276643990929705,0,0,0,0
5,0.19,TOP SCORE (V357),0.1,0.15,0.08,0.08,0.08,0.32,0.11337868480725623,1,1,10,10
6,0.19,GREEN GENERATION (C355),0.1,0.15,0.08,0.08,0.08,0.32,0.11337868480725623,1,1,10,10
7,0.19,AURORA PEGASUS (C351),0.1,0.15,0.0,0.08,0.0,0.32,0.09523809523809525,0,0,0,0
8,0.19,THE ABRAXAS (C212),0.1,0.15,0.0,0.0,0.08,0.0,0.05895691609977324,0,0,0,0
9,0.19,BOND ELEGANCE (A007),0.0,0.15,0.0,0.0,0.0,0.0,0.03854875283446711,0,0,0,0
10,0.19,JIMSON THE DRAGON (C017),0.1,0.15,0.0,0.0,0.08,0.0,0.05895691609977324,0,0,0,0
11,0.0,DIVINE POWER (C175),0.1,0.15,0.0,0.0,0.08,0.32,0.07369614512471655,0,0,0,0
