hid,age,horseweight,exweight,horseweightchg,besttime,distance,jname,tname,rating,ratechg,ind_pla,ind_win,winstake,plastake
4,8,1174,132,-10,100.04,1650,0.184263369,0.213391399,58,-2,1,0,0,0
5,3,1064,131,-2,0,1650,0.226495726,0.226415094,57,0,1,0,0,0
2,8,1136,130,-2,99.36,1650,0.149321267,0.223614776,56,-4,0,0,0,0
8,5,1082,129,11,99.89,1650,0.250320924,0.226415094,55,-1,0,0,0,0
11,6,1067,125,16,99.88,1650,0.172011853,0.223614776,51,-2,0,0,0,0
10,4,1123,125,15,100.38,1650,0.432066632,0.241245136,51,-2,1,1,0,0
3,4,956,122,-18,0,1650,0.197815534,0.224276032,48,-2,0,0,0,0
6,4,1059,121,-1,0,1650,0.15469228,0.213391399,47,-1,0,0,0,0
12,7,1145,119,-8,100.28,1650,0.173726212,0.271477663,45,0,0,0,0,0
1,7,1029,118,-11,100.11,1650,0.20627016,0.234627832,44,5,0,0,0,0
7,6,1182,116,0,99.92,1650,0.266868077,0.263529412,42,-2,0,0,0,0
9,5,1154,115,-3,99.3,1650,0.506429278,0.235741445,41,-1,0,0,0,0
