hid,age,horseweight,exweight,horseweightchg,besttime,distance,jname,tname,rating,ratechg,ind_pla,ind_win
1,5,1127,131,0,99.04,1650,0.17984340828532905,0.2635294117647059,76,0,0,0
9,4,1137,128,-9,99.31,1650,0.20302502845105147,0.2242152466367713,73,0,0,0
7,5,1076,127,35,101.29,1650,0.2503209242618742,0.26277372262773724,72,0,0,0
3,6,1122,126,16,99.15,1650,0.1633182617889737,0.3948717948717949,71,-1,0,0
12,4,1046,125,3,100.7,1650,0.11684782608695653,0.2139673105497771,70,-3,0,0
8,5,1165,121,11,100.16,1650,0.27710843373493976,0.36607142857142855,66,0,1,1
5,5,1175,120,5,99.95,1650,0.4320666319625195,0.2357414448669201,65,0,1,0
11,5,1076,119,3,99.24,1650,0.2329345531315975,0.22641509433962265,64,0,0,0
10,5,1106,119,11,99.72,1650,0.17372621240024555,0.25961538461538464,64,1,1,0
2,7,1045,118,20,99.43,1650,0.18149146451033246,0.2763063707945598,63,0,0,0
6,4,1116,118,3,100.94,1650,0.1568627450980392,0.35294117647058826,63,-4,0,0
4,7,1170,118,-2,99.37,1650,0.15377013940454254,0.23462783171521034,63,0,0,0
