age,tname,jname,rating,track,bardraw,besttime,going,win_t5,place_t5,ind_win,ind_pla
5.0,0.16666666666666666,0.3613861386138614,38.0,1,10.0,83.01335999999999,2,11.0,3.6,0,0
9.0,0.1721311475409836,0.21374045801526717,38.0,1,11.0,99.62,2,24.0,5.9,1,1
4.0,0.16666666666666666,0.19736842105263158,36.0,1,2.0,83.01335999999999,2,37.0,8.6,0,0
6.0,0.2818181818181818,0.49444444444444446,36.0,1,12.0,100.61,2,6.0,1.9,0,0
6.0,0.18292682926829268,0.23636363636363636,35.0,1,7.0,100.74,2,2.7,1.4,0,0
4.0,0.1610738255033557,0.1511627906976744,34.0,1,1.0,102.41,2,28.0,6.9,0,0
4.0,0.23275862068965517,0.40131578947368424,32.0,1,9.0,100.96,2,7.1,2.6,0,1
7.0,0.16666666666666666,0.16296296296296298,28.0,1,4.0,101.12,2,14.0,3.6,0,0
4.0,0.25,0.19047619047619047,28.0,1,6.0,83.01335999999999,2,28.0,6.4,0,0
7.0,0.23148148148148148,0.28,26.0,1,8.0,100.95,2,6.9,2.1,0,1
5.0,0.22988505747126436,0.45806451612903226,26.0,1,3.0,101.76,2,21.0,5.0,0,0
5.0,0.24528301886792453,0.1958762886597938,23.0,1,5.0,101.49,2,16.0,4.2,0,0
3.0,0.3225806451612903,0.3613861386138614,58.0,1,5.0,83.01335999999999,2,5.1,1.7,1,1
6.0,0.24528301886792453,0.16296296296296298,58.0,1,10.0,57.39,2,23.0,5.2,0,0
7.0,0.25,0.19047619047619047,56.0,1,12.0,57.5,2,16.0,3.5,0,0
4.0,0.232,0.49444444444444446,54.0,1,1.0,83.01335999999999,2,4.5,1.7,0,0
3.0,0.16666666666666666,0.14285714285714285,52.0,1,11.0,83.01335999999999,2,99.0,21.0,0,0
5.0,0.1721311475409836,0.21374045801526717,52.0,1,8.0,83.01335999999999,2,25.0,6.5,0,0
4.0,0.23275862068965517,0.28,48.0,1,7.0,83.01335999999999,2,18.0,4.1,0,1
7.0,0.3270440251572327,0.25842696629213485,45.0,1,4.0,57.24,2,10.0,2.5,0,0
4.0,0.1610738255033557,0.09803921568627451,45.0,1,9.0,83.01335999999999,2,36.0,7.2,0,0
4.0,0.5035460992907801,0.45806451612903226,43.0,1,2.0,83.01335999999999,2,2.7,1.5,0,1
4.0,0.2288135593220339,0.1511627906976744,41.0,1,3.0,83.01335999999999,2,11.0,3.3,0,0
5.0,0.22988505747126436,0.16666666666666666,40.0,1,6.0,83.01335999999999,2,99.0,16.0,0,0
5.0,0.24528301886792453,0.19736842105263158,60.0,1,2.0,70.2,2,3.8,1.6,0,1
6.0,0.18292682926829268,0.25842696629213485,57.0,1,8.0,69.98,2,12.0,3.9,0,0
8.0,0.1721311475409836,0.28,55.0,1,3.0,69.25,2,11.0,3.9,0,0
5.0,0.16666666666666666,0.14285714285714285,53.0,1,9.0,70.13,2,15.0,2.8,0,0
4.0,0.22988505747126436,0.16296296296296298,52.0,1,4.0,83.01335999999999,2,5.5,2.4,0,0
3.0,0.5035460992907801,0.45806451612903226,50.0,1,11.0,71.01,2,21.0,6.3,0,1
5.0,0.23275862068965517,0.1276595744680851,50.0,1,1.0,70.5,2,11.0,2.9,0,0
7.0,0.2288135593220339,0.1511627906976744,49.0,1,6.0,69.78,2,27.0,5.3,0,0
5.0,0.232,0.49444444444444446,49.0,1,5.0,71.29,2,4.2,2.6,1,1
3.0,0.3270440251572327,0.3613861386138614,48.0,1,10.0,70.8,2,20.0,4.5,0,0
7.0,0.16666666666666666,0.23636363636363636,48.0,1,12.0,69.61,2,31.0,5.2,0,0
4.0,0.2549019607843137,0.224,44.0,1,7.0,70.45,2,21.0,3.8,0,0
5.0,0.1610738255033557,0.23636363636363636,78.0,1,7.0,83.01335999999999,2,87.0,11.0,0,0
7.0,0.1721311475409836,0.19047619047619047,74.0,1,6.0,57.03,2,9.7,1.9,0,0
6.0,0.16666666666666666,0.3613861386138614,73.0,1,11.0,56.95,2,16.0,2.9,0,0
3.0,0.23275862068965517,0.16296296296296298,73.0,1,9.0,83.01335999999999,2,97.0,15.0,0,1
4.0,0.22988505747126436,0.16666666666666666,72.0,1,3.0,83.01335999999999,2,17.0,3.0,0,0
0.0,0.0,0.0,0.0,1,0.0,83.01335999999999,2,0.0,0.0,0,0
6.0,0.25,0.21374045801526717,69.0,1,4.0,57.49,2,6.5,1.6,0,1
4.0,0.14150943396226415,0.28,68.0,1,10.0,58.95,2,80.0,12.0,0,0
5.0,0.22988505747126436,0.09090909090909091,66.0,1,8.0,58.55,2,50.0,7.7,0,0
3.0,0.5035460992907801,0.45806451612903226,63.0,1,1.0,57.54,2,1.4,1.0,1,1
5.0,0.16666666666666666,0.1958762886597938,62.0,1,2.0,57.82,2,53.0,9.5,0,0
5.0,0.1721311475409836,0.19736842105263158,61.0,1,5.0,57.65,2,20.0,4.0,0,0
6.0,0.2818181818181818,0.21374045801526717,59.0,1,9.0,83.01335999999999,2,32.0,6.8,0,0
8.0,0.23148148148148148,0.25842696629213485,59.0,1,2.0,100.16,2,13.0,3.0,0,0
8.0,0.24528301886792453,0.224,54.0,1,6.0,99.78,2,23.0,4.7,0,0
4.0,0.23148148148148148,0.28,54.0,1,11.0,100.8,2,11.0,2.9,1,1
7.0,0.1721311475409836,0.16296296296296298,48.0,1,1.0,100.24,2,20.0,4.5,0,0
6.0,0.23275862068965517,0.19736842105263158,47.0,1,5.0,83.01335999999999,2,21.0,4.8,0,0
4.0,0.232,0.49444444444444446,46.0,1,10.0,99.8,2,5.5,1.5,0,0
4.0,0.25,0.19047619047619047,46.0,1,4.0,83.01335999999999,2,23.0,4.0,0,1
5.0,0.2972972972972973,0.40131578947368424,46.0,1,3.0,100.0,2,1.7,1.2,0,1
6.0,0.14150943396226415,0.3613861386138614,41.0,1,7.0,100.58,2,22.0,4.8,0,0
8.0,0.16666666666666666,0.45806451612903226,41.0,1,8.0,99.84,2,24.0,4.0,0,0
6.0,0.3270440251572327,0.49444444444444446,127.0,1,10.0,107.61,2,2.5,1.7,0,0
6.0,0.2972972972972973,0.40131578947368424,124.0,1,7.0,107.83,2,5.3,1.5,0,0
6.0,0.232,0.23636363636363636,123.0,1,5.0,83.01335999999999,2,10.0,3.0,0,0
6.0,0.2818181818181818,0.1276595744680851,120.0,1,2.0,107.8,2,13.0,3.1,0,0
5.0,0.3225806451612903,0.3613861386138614,108.0,1,6.0,83.01335999999999,2,7.1,2.5,0,0
5.0,0.34814814814814815,0.19047619047619047,108.0,1,8.0,83.01335999999999,2,8.1,2.8,1,1
8.0,0.22988505747126436,0.16666666666666666,106.0,1,4.0,108.57,2,64.0,9.5,0,0
7.0,0.23275862068965517,0.19736842105263158,103.0,1,9.0,110.62,2,40.0,6.4,0,1
5.0,0.5035460992907801,0.45806451612903226,102.0,1,1.0,108.57,2,8.9,2.2,0,1
6.0,0.5035460992907801,0.224,101.0,1,3.0,107.94,2,20.0,3.8,0,0
4.0,0.232,0.49444444444444446,80.0,1,1.0,83.01335999999999,2,2.8,1.8,0,0
5.0,0.2818181818181818,0.40131578947368424,78.0,1,8.0,100.32,2,5.7,2.1,0,1
6.0,0.1610738255033557,0.09803921568627451,77.0,1,4.0,99.54,2,37.0,8.2,0,0
4.0,0.16666666666666666,0.21374045801526717,71.0,1,10.0,83.01335999999999,2,28.0,6.1,0,0
4.0,0.22988505747126436,0.16296296296296298,71.0,1,5.0,100.77,2,52.0,7.6,0,0
5.0,0.5035460992907801,0.45806451612903226,69.0,1,7.0,99.55,2,7.5,1.8,0,1
5.0,0.23148148148148148,0.28,65.0,1,11.0,100.6,2,5.5,2.1,1,1
7.0,0.23275862068965517,0.14285714285714285,65.0,1,9.0,101.64,2,45.0,6.8,0,0
5.0,0.3225806451612903,0.1958762886597938,64.0,1,6.0,100.65,2,13.0,3.6,0,0
6.0,0.3270440251572327,0.3613861386138614,64.0,1,12.0,100.22,2,18.0,4.8,0,0
7.0,0.1721311475409836,0.19736842105263158,64.0,1,2.0,99.72,2,37.0,7.9,0,0
4.0,0.34814814814814815,0.1511627906976744,62.0,1,3.0,100.33,2,9.0,2.3,0,0
6.0,0.14150943396226415,0.28,95.0,1,11.0,69.0,2,11.0,3.5,0,0
5.0,0.16666666666666666,0.3613861386138614,92.0,1,8.0,70.63,2,35.0,5.9,0,0
4.0,0.3270440251572327,0.1276595744680851,90.0,1,7.0,83.01335999999999,2,68.0,10.0,0,0
5.0,0.25,0.49444444444444446,87.0,1,4.0,69.87,2,6.6,2.2,0,1
3.0,0.5035460992907801,0.45806451612903226,84.0,1,5.0,69.65,2,1.9,1.2,1,1
6.0,0.22988505747126436,0.16296296296296298,84.0,1,3.0,69.38,2,24.0,4.6,0,1
5.0,0.2972972972972973,0.23636363636363636,84.0,1,1.0,69.43,2,7.7,1.9,0,0
4.0,0.1610738255033557,0.25842696629213485,84.0,1,9.0,69.96,2,8.2,2.1,0,0
7.0,0.16666666666666666,0.1958762886597938,83.0,1,6.0,69.74,2,19.0,4.1,0,0
6.0,0.232,0.40131578947368424,93.0,1,12.0,83.01335999999999,2,19.0,5.1,0,0
5.0,0.23275862068965517,0.19736842105263158,82.0,1,10.0,71.95,2,99.0,14.0,0,0
6.0,0.2549019607843137,0.09803921568627451,81.0,1,2.0,69.71,2,72.0,11.0,0,0
4.0,0.1721311475409836,0.21374045801526717,40.0,1,10.0,69.92,2,12.0,3.1,0,0
6.0,0.3270440251572327,0.45806451612903226,37.0,1,2.0,70.51,2,1.8,1.1,0,1
4.0,0.2288135593220339,0.1511627906976744,36.0,1,6.0,83.01335999999999,2,24.0,5.7,0,0
8.0,0.1721311475409836,0.16296296296296298,35.0,1,9.0,69.86,2,19.0,3.7,0,0
8.0,0.24528301886792453,0.09803921568627451,31.0,1,5.0,70.26,2,58.0,10.0,0,0
4.0,0.16666666666666666,0.14285714285714285,27.0,1,7.0,70.68,2,28.0,4.8,0,0
6.0,0.3225806451612903,0.3613861386138614,25.0,1,3.0,70.31,2,7.9,2.2,1,1
6.0,0.18292682926829268,0.23255813953488372,25.0,1,1.0,69.69,2,6.4,1.9,0,1
7.0,0.22988505747126436,0.19318181818181818,24.0,1,8.0,69.22,2,7.7,1.8,0,0
5.0,0.23275862068965517,0.19736842105263158,15.0,1,4.0,70.86,2,35.0,5.2,0,0
5.0,0.23148148148148148,0.40131578947368424,40.0,1,8.0,109.72,2,7.1,2.6,0,0
5.0,0.23275862068965517,0.28,37.0,1,6.0,108.7,2,6.5,1.9,0,1
