index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110386,2019-10-16,1,1,HV,TURF,GOOD,C,Class 5,1800,11032,1357,2309,2477,2459,2430,0,V202,C Schofield,K H Ting,133,9,B/XB,37,0,1209,-12,1.50.48,7,+1,10/9/5/1/1/7,5,7-7-8-8-5,7,7,8,8,5,0,1417,2393,2425,2431,2392,0,11058,3.75,9,5.75,4,1.5,0,35,"HK$ 725,000",1-1/2,12.0,17.0,3.7,4.6,0,0
110387,2019-10-16,1,2,HV,TURF,GOOD,C,Class 5,1800,11032,1357,2309,2477,2459,2430,0,C251,J Moreira,C Fownes,133,2,,37,0,1171,-25,,4,1,3/3/9/5/9/9,4,6-5-5-6-4,6,5,5,6,4,0,1393,2345,2461,2447,2402,0,11048,2.25,4.5,3.5,2.75,1.0,0,10,"HK$ 725,000",1,2.3,2.4,1.4,1.2,0,0
110388,2019-10-16,1,3,HV,TURF,GOOD,C,Class 5,1800,11032,1357,2309,2477,2459,2430,0,V232,A Sanna,K W Lui,131,4,V,35,0,1063,-8,1.50.24,7,1,6/4/5/10/8/8,3,10-10-11-7-3,10,10,11,7,3,0,1473,2397,2405,2379,2392,0,11046,7.25,12.75,8.25,3.25,0.75,0,35,"HK$ 725,000",3/4,6.6,5.4,1.8,1.7,0,1
110389,2019-10-16,1,4,HV,TURF,GOOD,C,Class 5,1800,11032,1357,2309,2477,2459,2430,0,V119,K H Chan,P F Yiu,131,10,B/TT,35,+5,1118,-20,1.49.75,7,1,1/5/12/3/4/10,7,1-1-1-1-7,1,1,1,1,7,0,1357,2309,2477,2459,2465,0,11067,0.5,1.25,SH,0.5,2.25,0,35,"HK$ 725,000",2-1/4,13.0,11.0,3.5,3.1,0,0
110390,2019-10-16,1,5,HV,TURF,GOOD,C,Class 5,1800,11032,1357,2309,2477,2459,2430,0,V207,K C Leung,L Ho,129,5,H/SR,33,-2,1165,+5,1.50.73,7,1,12/4/9/11/7/2,1,3-4-3-2-1,3,4,3,2,1,0,1365,2357,2445,2443,2422,0,11032,0.5,3.5,1.5,0.5,SH,0,10,"HK$ 725,000",SH,12.0,9.3,2.7,3.2,1,1
110391,2019-10-16,1,6,HV,TURF,GOOD,C,Class 5,1800,11032,1357,2309,2477,2459,2430,0,B448,B Shinn,C H Yip,127,8,B2,31,-10,1208,+29,,4,1,14/13/10/12/13/10,11,9-9-10-10-11,9,9,10,10,11,0,1445,2409,2409,2419,2452,0,11134,5.5,11.75,7.5,5,6.5,0,101,"HK$ 725,000",6-1/2,24.0,36.0,6.3,9.8,0,0
110392,2019-10-16,1,7,HV,TURF,GOOD,C,Class 5,1800,11032,1357,2309,2477,2459,2430,0,A285,C Y Ho,K L Man,126,7,,30,0,1039,+13,1.50.20,5,1,7/7/9/10/10/9,10,2-2-2-3-10,2,2,2,3,10,0,1365,2321,2457,2467,2499,0,11109,0.5,1.25,SH,0.5,4.75,0,35,"HK$ 725,000",4-3/4,13.0,16.0,3.6,4.2,0,0
110393,2019-10-16,1,8,HV,TURF,GOOD,C,Class 5,1800,11032,1357,2309,2477,2459,2430,0,B134,L Hewitson,P O'Sullivan,119,3,B,23,+2,1121,-5,,5,1,2/8/12/2/8/4,9,4-3-4-4-9,4,3,4,4,9,0,1369,2333,2469,2451,2480,0,11102,0.75,2.25,1.75,1.25,4.25,0,10,"HK$ 725,000",4-1/4,6.7,8.0,2.2,2.4,0,0
110394,2019-10-16,1,9,HV,TURF,GOOD,C,Class 5,1800,11032,1357,2309,2477,2459,2430,0,B231,H W Lai,Y S Tsui,117,6,B-/H1/P2,21,-2,1024,-32,,5,1,9/7/10/4/6/6,8,5-6-6-9-8,5,6,6,9,8,0,1389,2377,2453,2451,2418,0,11088,2.0,6.25,4.75,4.25,3.5,0,7,"HK$ 725,000",3-1/2,39.0,52.0,8.6,12.0,0,0
110395,2019-10-16,1,10,HV,TURF,GOOD,C,Class 5,1800,11032,1357,2309,2477,2459,2430,0,B292,H N Wong,D E Ferraris,116,1,B,20,-1,1229,+6,1.50.90,5,1,6/7/9/10/10/10,6,8-8-9-11-6,8,8,9,11,6,0,1445,2397,2413,2439,2366,0,11060,5.5,11,7,5.75,1.75,0,10,"HK$ 725,000",1-3/4,13.0,12.0,3.8,2.9,0,0
